id,year,make,model,trim1,trim2
0004d4463b50,2014.0,Acura,TL,TL,w/SE
00087a6bd4dc,2014.0,Acura,RLX,RLX,w/Tech
000aa097d423,2012.0,Mazda,MAZDA6,MAZDA6,i Sport
000f19f6e7d4,2016.0,Chevrolet,Camaro,Camaro,SS
00144e887ae9,2015.0,Acura,TLX,TLX,SH-AWD V6 w/Advance Pkg
001a04be361e,2014.0,BMW,3 Series,3 Series,320i
002a1d2005bb,2014.0,BMW,X1,X1,xDrive28i
002b362dee46,2014.0,Chevrolet,Volt,Volt,Premium
00322b309335,2013.0,BMW,1 Series,1 Series,128i w/ Premium Pkg
004b030cf28f,2013.0,Honda,Civic,Civic,LX
006c1e464047,2014.0,Buick,Verano,Verano,Leather Group
0072f74f24ca,2013.0,Kia,Optima,Optima,LX
0075b9ff9bca,2013.0,Mazda,CX-9,CX-9,Sport
00784b3ef435,2013.0,Kia,Sorento,Sorento,SX
007da964b668,2014.0,Toyota,Highlander,Highlander,Limited
008d02b91746,2015.0,Mazda,CX-9,CX-9,Touring
0091c5ec5d3d,2014.0,Toyota,Camry,Camry,SE
0092275fcc63,2013.0,Hyundai,Sonata,Sonata,Limited
009c97ec3729,2014.0,Nissan,Sentra,Sentra,S
00ad56bf7ee6,2013.0,Acura,ILX,ILX,2.0L w/Tech Pkg
00afb946a54c,2016.0,Nissan,Rogue,Rogue,S
00b6aee52419,2013.0,Kia,Sorento,Sorento,EX
00c07d49f4c5,2014.0,Toyota,Corolla,Corolla,L
00d3de919651,2014.0,Chevrolet,Volt,Volt,Premium
00ea6d495e8f,2013.0,FIAT,500e,500e,Base
00ea92389675,2012.0,Hyundai,Tucson,Tucson,GLS
00f145d0d769,2012.0,Mazda,MAZDA6,MAZDA6,i Sport
00fb5d5806c7,2013.0,Chrysler,300,300,S
011330127438,2013.0,Nissan,LEAF,LEAF,S
014548a9586a,2016.0,Kia,Sedona,Sedona,LX
014baba60b16,2013.0,INFINITI,JX35,JX35,Base W/ Premium Pkg
014ed535be38,2015.0,Chrysler,200,200,Limited
01540106ee74,2013.0,Honda,Accord,Accord,EX
015d98226195,2013.0,Toyota,Tacoma,Tacoma,PreRunner
0179cf3ecd9f,2014.0,Chevrolet,Volt,Volt,Base
018f26e4d1aa,2014.0,Ford,Escape,Escape,SE
018f8ea7b4fa,2014.0,Chevrolet,Volt,Volt,Premium
019bbd45b0ac,2013.0,Volkswagen,Jetta,Jetta,SE PZEV
01aaf972cc52,2015.0,Nissan,Altima,Altima,2.5 SL
01c4dca94aeb,2013.0,Honda,CR-V,CR-V,LX
01d0c99fb9f4,2013.0,Chevrolet,Volt,Volt,Premium
01d27b68b874,2015.0,Chevrolet,Trax,Trax,LT
01d8e294f6ad,2012.0,Chevrolet,Equinox,Equinox,LS
01e1607c8bc1,2015.0,Hyundai,Accent,Accent,GLS
01e399a960a2,2015.0,Toyota,RAV4,RAV4,XLE
01e3ec4fcef2,2014.0,Ford,Focus,Focus,SE
01e78e4bb8be,2013.0,Kia,Soul,Soul,Base
0200a09f1566,2014.0,FIAT,500e,500e,Base
0209e280ff6b,2014.0,Volkswagen,Passat,Passat,Wolfsburg Edition PZEV
020d1dd32756,2014.0,Honda,Accord,Accord,Sport
02159e548029,2009.0,Nissan,cube,cube,1.8 S
0217e1bd45b9,2014.0,Dodge,Grand Caravan,Grand Caravan,R/T
021cc8a57675,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport
0228655b8787,2014.0,Chevrolet,Camaro,Camaro,LT
02294cca8e44,2013.0,Buick,Enclave,Enclave,Leather
0229ea18bb1a,2014.0,Toyota,4Runner,4Runner,Limited
022db16b5dea,2013.0,Hyundai,Veloster,Veloster,Base
0231a203dc2b,2016.0,Toyota,Tacoma,Tacoma,SR5 V6
023ea7e5383e,2014.0,Nissan,Altima,Altima,2.5 SV
02421a92ddb8,2015.0,Chevrolet,Suburban,Suburban,LT 1500 w/Towing Pkg
0257715df161,2014.0,Cadillac,XTS,XTS,Premium Collection
0267b800546e,2013.0,Honda,Accord,Accord,LX
028e12c2111b,2015.0,Ford,Fusion,Fusion,SE
02a3b3629b0a,2013.0,Ford,Taurus,Taurus,SEL
02ab96daffd0,2013.0,FIAT,500,500,Pop
02b32471ed11,2014.0,Honda,Civic,Civic,Hybrid
02b33b412bde,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger
02bb4cc3f443,2013.0,Toyota,Corolla,Corolla,LE
02bbfca488bd,2014.0,Honda,CR-V,CR-V,EX
02c3d72a5c57,2015.0,Dodge,Challenger,Challenger,SXT
02caf48a06fd,2013.0,Ford,Fusion,Fusion,SE
02d1713b3980,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger
02fa9128f570,2014.0,GMC,Sierra 1500,Sierra 1500,SLE
02fac500a5cf,2014.0,Toyota,RAV4,RAV4,XLE
0311223b9244,2013.0,Acura,ILX,ILX,2.0L
031baf433aa4,2013.0,Lincoln,MKZ,MKZ,Base
0321fac2ffb9,2013.0,Lexus,ES 300h,ES 300h,Base
0330073c45da,2015.0,Jeep,Compass,Compass,Sport
033d891ba919,2016.0,Chevrolet,Malibu Limited,Malibu Limited,LS
034595b04d5c,2015.0,Chevrolet,Traverse,Traverse,LT
0347c540822e,2014.0,Dodge,Journey,Journey,SXT
0347eb8f1361,2013.0,Ford,Edge,Edge,SEL
034a1d518bc4,2014.0,Cadillac,SRX,SRX,Base
034f026c8e73,2013.0,Jaguar,XF,XF,3.0 W/ Cold Weather Pkg
035095865f7c,2012.0,INFINITI,FX35,FX35,Base
0356db4567a0,2015.0,Toyota,Yaris,Yaris,5-Door L
0365a84b16e0,2013.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base
036de0766a30,2015.0,Toyota,RAV4,RAV4,Limited
03708147770e,2014.0,Chevrolet,Volt,Volt,Premium
037bd09a4b49,2012.0,Cadillac,SRX,SRX,Base
037ee0a8f566,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Overland
03836d595666,2015.0,Chevrolet,Corvette,Corvette,Stingray
038d9c3c973a,2016.0,Nissan,Frontier,Frontier,SV
0391b6df64c3,2014.0,Mazda,CX-9,CX-9,Grand Touring
0395b45034fc,2013.0,Cadillac,CTS,CTS,3.0L Luxury
03980637dc0f,2014.0,Buick,Verano,Verano,Base
039aae672564,2014.0,Honda,Civic,Civic,EX
03a80eb7d8b3,2013.0,BMW,5 Series,5 Series,535i xDrive
03a857ce842d,2014.0,Chevrolet,Captiva Sport,Captiva Sport,LT
03bcf4f0cd1a,2013.0,Cadillac,SRX,SRX,Performance Collection
03c25511587d,2014.0,Nissan,Armada,Armada,Platinum
03c4a3163fe7,2015.0,Buick,Encore,Encore,Convenience
03d8d91709a4,2013.0,Hyundai,Santa Fe Sport,Santa Fe Sport,2.0T
040260add8e2,2014.0,Nissan,Frontier,Frontier,Desert Runner
041ac15032b7,2013.0,Smart,fortwo,fortwo,passion
042090a0a696,2014.0,Toyota,Corolla,Corolla,L
04380a9b93dc,2013.0,Acura,ILX,ILX,2.4L w/Premium
0458898c5e45,2015.0,Infiniti,QX60,QX60,Base
046ebf665b81,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC
0471204b1971,2014.0,Mitsubishi,Lancer,Lancer,ES
047de80441e5,2014.0,Chevrolet,Cruze,Cruze,LS Auto
047df42a3f14,2014.0,Nissan,Versa Note,Versa Note,SV
0489d3f9b1e1,2013.0,Acura,TSX,TSX,Base
048d4eba0a15,2015.0,Nissan,JUKE,JUKE,S
0493f0ce4a01,2014.0,MINI,Countryman,Countryman,Cooper S w/ Sport Pkg
0495dcf27283,2015.0,Jaguar,F-TYPE,F-TYPE,Base
04a1497734b3,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES
04adcad1b0ba,2012.0,Toyota,Camry,Camry,SE
04bd87f8f379,2014.0,Subaru,Forester,Forester,2.5i
04bd942b463b,2009.0,Cadillac,CTS-V,CTS-V,Base
04cd9509f08c,2014.0,Chevrolet,Equinox,Equinox,LT
04d469125e04,2010.0,Toyota,Prius,Prius,II
04de56a06fc3,2013.0,Chevrolet,Cruze,Cruze,LS Auto
04e6038105f3,2014.0,Nissan,Versa,Versa,1.6 S
04e9a1639246,2014.0,Chrysler,Town and Country,Town and Country,Touring
04ee951fa03f,2014.0,Smart,fortwo,fortwo,pure
04f196955fa8,2012.0,Chevrolet,Silverado 1500,Silverado 1500,LT
050098d4a8a8,2014.0,Toyota,Camry,Camry,XLE
0521bbb102e3,2012.0,Honda,Civic,Civic,EX
052d90089246,2015.0,Ford,Escape,Escape,Titanium w/Technology Pkg
0549c5ec6e16,2013.0,Cadillac,ATS,ATS,2.0T
055d0d044e4d,2015.0,Jeep,Compass,Compass,Sport
056376bb4767,2014.0,Subaru,Impreza,Impreza,2.0i Sport Premium
056e8a53e379,2014.0,Buick,Regal,Regal,Premium II
05753314241b,2014.0,Honda,Accord,Accord,LX
057717e667f8,2014.0,Audi,A4,A4,2.0T quattro Premium W/ Cold Weather Pkg
0579c33948b8,2013.0,Ford,Escape,Escape,Titanium
0596c7ebfda2,2015.0,Kia,Rio,Rio,LX
05a238523bf0,2014.0,Buick,Encore,Encore,Convenience
05a91b014fb8,2014.0,Nissan,Murano,Murano,SL
05aad5f1ce32,2014.0,Ford,C-MAX Energi,C-MAX Energi,SEL
05b554398229,2013.0,Chevrolet,Malibu,Malibu,Eco
05b9facbe852,2012.0,Audi,A4,A4,2.0T Premium
05c1d87110fe,2014.0,Acura,TSX,TSX,Base
05d9e5e00751,2014.0,Dodge,Journey,Journey,SXT
05dcdb23d837,2013.0,Kia,Optima,Optima,LX
05e09970b4a6,2016.0,Chevrolet,Impala,Impala,LTZ
05e986ef23df,2015.0,Toyota,Prius,Prius,Two
05ee36fa6027,2015.0,Toyota,Camry,Camry,SE
06061f57ba3a,2014.0,Honda,CR-V,CR-V,EX
060b58878e74,2013.0,Volkswagen,Jetta,Jetta,Base
060e5b9220aa,2014.0,Mercedes-Benz,SLK,SLK,SLK 350 w/ Premium Pkg
061053933410,2014.0,Mazda,Mazda6,Mazda6,i Touring
0625ffc3efdf,2015.0,Honda,Accord,Accord,EX-L
062726cc4268,2013.0,BMW,3 Series,3 Series,328i
062ef77394f3,2013.0,Honda,Accord,Accord,LX
063fff292433,2013.0,GMC,Acadia,Acadia,SLE-2
06486e5079a5,2013.0,Smart,fortwo,fortwo,pure
064abd1b6a6b,2013.0,Honda,Accord,Accord,EX-L
064fec0416b8,2013.0,Lexus,GX 460,GX 460,Base
065093948b19,2014.0,Toyota,Corolla,Corolla,LE Eco
0653d239bd8f,2015.0,Nissan,Versa Note,Versa Note,SV
0654525bda1f,2014.0,Kia,Soul,Soul,+
0657ea4b7bb5,2016.0,Jeep,Renegade,Renegade,Limited
066403d275f9,2013.0,Cadillac,CTS,CTS,3.0L Luxury
066aa3c1ae8b,2014.0,Kia,Soul,,
066ab6db1f07,2013.0,Honda,Civic,Civic,LX
066c4c571496,2014.0,Nissan,Murano,Murano,SV
06803cf93d06,2016.0,MINI,Hardtop,Hardtop,Cooper
068cb69017b3,2014.0,Ford,F-150,F-150,XLT
069ee4b8b325,2014.0,Honda,CR-V,CR-V,EX-L
06ba958fe164,2013.0,Chevrolet,Malibu,Malibu,LT
06baeddcae63,2013.0,Chevrolet,Cruze,Cruze,LS Auto
06c902ba4a55,2014.0,Nissan,Maxima,Maxima,3.5 S
06c9ba5afc31,2014.0,Toyota,Prius,Prius,Two
06cb625e32b9,2012.0,Honda,Civic,Civic,LX
06d98aee602f,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Overland
06f657f2164f,2010.0,Kia,Soul,Soul,Sport
06f838789041,2016.0,Nissan,Pathfinder,Pathfinder,SL
06f9fc4906bd,2014.0,Honda,Civic,Civic,EX
06fc288d444e,2015.0,Kia,Soul,Soul,+
0701b1cb0de4,2014.0,Toyota,Camry Hybrid,Camry Hybrid,XLE
071ef54223ff,2014.0,Cadillac,ATS,ATS,2.0T
072bfd926afb,2015.0,Volkswagen,Passat,Passat,Wolfsburg Edition
072de3cd7808,2014.0,Chevrolet,Volt,Volt,Premium
0736df5f73cc,2013.0,Honda,Accord,Accord,LX-S
074558ebf6b1,2014.0,Kia,Sorento,Sorento,LX
0765a2be8b5c,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger
076c4d58c1e4,2015.0,Jeep,Compass,Compass,Sport
077aff626189,2013.0,Toyota,Venza,Venza,XLE
0789bed99cb8,2014.0,Mazda,Mazda3,Mazda3,s Grand Touring
0795e132d090,2011.0,Ford,Ranger,Ranger,XL
079d03064e77,2016.0,Jeep,Compass,Compass,Sport
079d98645cc9,2012.0,Hyundai,Sonata,Sonata,GLS
07bcb1717ce1,2016.0,Kia,Soul,Soul,+
07c0c18e6680,2013.0,Kia,Soul,Soul,Base
07c141a0007f,2013.0,Chevrolet,Volt,Volt,Base
07c87454317a,2015.0,Lexus,RX 350,RX 350,Base
080034f70da6,2014.0,Toyota,Prius,Prius,Two
0809482ad153,2016.0,Dodge,Durango,Durango,Limited
0824c9b6775e,2012.0,Land Rover,LR4,LR4,Base
0826d1082d40,2014.0,Buick,Regal,Regal,Premium I
08280cb38ea0,2014.0,Chevrolet,Cruze,Cruze,LS Auto
0853fff13439,2014.0,Jeep,Cherokee,Cherokee,Limited
0864419d052a,2013.0,Honda,Civic,Civic,LX
086c19767adf,2014.0,Nissan,Altima,Altima,2.5 S
08763cb31b96,2014.0,Chevrolet,Cruze,Cruze,ECO Auto
088157fe8ed8,2013.0,Chevrolet,Volt,Volt,Base
0884eb864694,2011.0,Hyundai,Genesis,Genesis,4.6L V8
088b223b4f6a,2014.0,Volkswagen,Jetta,Jetta,S
088e8d4a55ae,2015.0,Chevrolet,Cruze,Cruze,2LT Auto
0890a5828013,2014.0,Chevrolet,Impala Limited,Impala Limited,LT
08a646be6b30,2009.0,MINI,Cooper,Cooper,Base
08b7e5bb7138,2014.0,Kia,Optima,Optima,LX
08c86e873e1b,2014.0,Nissan,Maxima,Maxima,3.5 S
08d23e22218b,2015.0,Volkswagen,Jetta,Jetta,SE PZEV
08d6f444152c,2014.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC W/ Premium Pkg 1
08de51b2c4d4,2015.0,Dodge,Challenger,Challenger,R/T
08df10562b5d,2015.0,Jeep,Patriot,Patriot,Altitude Edition
08f413995312,2014.0,Toyota,Venza,Venza,LE
08f722b7440a,2014.0,Kia,Optima Hybrid,Optima Hybrid,EX
08ff127bfd73,2016.0,Ford,Fiesta,Fiesta,SE
0906f0972a33,2013.0,Nissan,Murano,Murano,LE
091713e7eb88,2015.0,Ford,Fusion,Fusion,SE
092d3e96b6f5,2014.0,BMW,3 Series,3 Series,320i xDrive
092ff8f0afb8,2014.0,Volkswagen,Jetta,Jetta,SE PZEV
0934fb1e82ac,2015.0,Toyota,Corolla,Corolla,LE
094b252c77dd,2014.0,Toyota,Camry Hybrid,Camry Hybrid,LE
09540758dcd8,2015.0,Chevrolet,Sonic,Sonic,LT Auto
0956c73a60a3,2013.0,MINI,Hardtop,Hardtop,Cooper
095cdcdfc340,2012.0,Dodge,Journey,Journey,SXT
09667673f1f2,2016.0,Volkswagen,Passat,Passat,1.8T S PZEV
09708ecafe5a,2014.0,Chevrolet,Malibu,Malibu,LT
09861b394f91,2014.0,Chevrolet,Malibu,Malibu,LS
0995e718305c,2015.0,Dodge,Charger,Charger,R/T
099ad62bfce7,2014.0,Ford,F-150,F-150,FX4
09ac3951fe5b,2015.0,Honda,Fit,Fit,LX
09aed20baef7,2015.0,Toyota,Prius,Prius,Two
09bcb4fa6ca4,2015.0,Dodge,Durango,Durango,R/T
09c07f1615b4,2014.0,Lexus,CT 200h,CT 200h,Base
09dca25c3340,2014.0,Ford,Escape,Escape,Titanium
09edc4d0f6b0,2016.0,Chevrolet,Sonic,Sonic,LT Auto
0a0e3fb8f782,2014.0,GMC,Terrain,Terrain,SLT-2
0a2637c772c5,2013.0,Honda,Civic,Civic,LX
0a2bbd5330a2,2016.0,Kia,Forte,Forte,LX
0a382e5373db,2014.0,Chevrolet,Sonic,Sonic,LT Auto
0a39129c9f62,2015.0,Ford,Fiesta,Fiesta,Titanium
0a392275c87d,2013.0,Nissan,Rogue,Rogue,SV
0a63454298b8,2014.0,Toyota,Prius c,Prius c,Two
